packageName,tf_idf,variable
com.soundcloud.android,0.381,TF_IDF_38
com.snapchat.android,0.37,TF_IDF_37
com.kwai.kuaishou.video.live,0.363,TF_IDF_36
com.etisalat,0.362,TF_IDF_36
org.telegram.messenger,0.356,TF_IDF_36
com.da3im.loan,0.356,TF_IDF_36
com.google.android.apps.docs,0.356,TF_IDF_36
com.snaptube.premium,0.353,TF_IDF_35
com.google.android.videos,0.35,TF_IDF_35
com.google.android.play.games,0.345,TF_IDF_34
com.zhiliaoapp.musically,0.343,TF_IDF_34
com.instagram.android,0.342,TF_IDF_34
eg.com.kashat,0.341,TF_IDF_34
com.olxmena.horizontal,0.34,TF_IDF_34
sinet.startup.inDriver,0.34,TF_IDF_34
com.google.android.apps.photos,0.34,TF_IDF_34
com.google.android.apps.tachyon,0.338,TF_IDF_34
com.tencent.ig,0.336,TF_IDF_34
com.ubercab,0.331,TF_IDF_33
com.halanuser,0.33,TF_IDF_33
com.google.android.apps.magazines,0.329,TF_IDF_33
com.google.android.apps.youtube.music,0.321,TF_IDF_32
com.whatsapp.w4b,0.317,TF_IDF_32
com.imo.android.imoim,0.314,TF_IDF_31
com.twitter.android,0.311,TF_IDF_31
com.madfoo3a.loan,0.31,TF_IDF_31
com.facebook.katana,0.307,TF_IDF_31
com.coloros.gamespaceui,0.307,TF_IDF_31
com.videoeditorpro.android,0.306,TF_IDF_31
com.orange.mobinilandme,0.305,TF_IDF_30
com.emeint.android.myservices,0.304,TF_IDF_30
com.WhatsApp2Plus,0.289,TF_IDF_29
com.king.candycrushsaga,0.287,TF_IDF_29
com.coloros.onekeylockscreen,0.285,TF_IDF_28
com.moonfrog.ludo.club,0.283,TF_IDF_28
com.google.android.apps.podcasts,0.282,TF_IDF_28
com.ucare.we,0.279,TF_IDF_28
com.salfny.wallet,0.277,TF_IDF_28
com.google.android.apps.translate,0.272,TF_IDF_27
com.lenovo.anyshare.gps,0.27,TF_IDF_27
com.coloros.oppopods,0.27,TF_IDF_27
com.moneyfellows.mobileapp,0.265,TF_IDF_27
com.jumia.android,0.262,TF_IDF_26
cn.wps.moffice_eng,0.26,TF_IDF_26
com.nemo.vidmate,0.26,TF_IDF_26
net.zedge.android,0.26,TF_IDF_26
com.talabat,0.259,TF_IDF_26
com.linkedin.android,0.259,TF_IDF_26
com.miniclip.eightballpool,0.255,TF_IDF_26
com.yalla.yallagames,0.253,TF_IDF_25
com.amazon.mShop.android.shopping,0.247,TF_IDF_25
com.picsart.studio,0.246,TF_IDF_25
com.ziipin.softkeyboard.saudi,0.245,TF_IDF_24
com.transsion.phoenix,0.244,TF_IDF_24
com.facebook.lite,0.241,TF_IDF_24
com.dywx.larkplayer,0.233,TF_IDF_23
com.google.android.music,0.232,TF_IDF_23
com.google.android.apps.subscriptions.red,0.231,TF_IDF_23
com.ludo.king,0.226,TF_IDF_23
com.souq.app,0.224,TF_IDF_22
com.anghami,0.217,TF_IDF_22
com.spotify.music,0.216,TF_IDF_22
com.linecorp.b612.android,0.211,TF_IDF_21
com.opera.app.news,0.209,TF_IDF_21
com.mobirix.swipebrick2,0.207,TF_IDF_21
com.nexstreaming.app.kinemasterfree,0.207,TF_IDF_21
com.ubercab.driver,0.206,TF_IDF_21
